"Gene","Degree","Betweenness","Closeness","Eigenvector","Category","Hub_Status"
"Tcf7l2",6,0.1874,0.6471,0.7437,"Wnt Signaling","Hub"
"Hey1",6,0.0662,0.6471,0.9969,"Wnt Signaling","Hub"
"Cacna1d",6,0.0635,0.6111,1,"Calcium Signaling","Hub"
"Ptbp1",6,0.0635,0.6111,1,"Metabolic Regulation","Hub"
"Glp1r",6,0.1731,0.6875,0.8844,"Incretin Signaling","Hub"
"Wnt5a",5,0.0058,0.5789,0.9362,"Wnt Signaling","Non-hub"
"Cacna1c",5,0.0342,0.6111,0.9132,"Calcium Signaling","Non-hub"
"Wnt5b",3,0.0026,0.5238,0.5126,"Wnt Signaling","Non-hub"
"Ryr3",3,0.0919,0.55,0.337,"Calcium Signaling","Non-hub"
"Itpr1",2,0.0235,0.44,0.1643,"Calcium Signaling","Non-hub"
"Ryr2",2,0.0064,0.3929,0.0979,"Calcium Signaling","Non-hub"
"Glut2",2,0,0.4074,0.3905,"Metabolic Regulation","Non-hub"
"Wnt9a",1,0,1,0,"Wnt Signaling","Non-hub"
"Tcf7",1,0,1,0,"Wnt Signaling","Non-hub"
