Gene1,Gene2,Raw_r,Raw_q,Hes1_r,Hes1_q,Kcnj11_r,Kcnj11_q,Ins1_r,Ins1_q
Cacna1c,Cacna1d,0.545,0.452,0.179,0.717,-0.146,0.709,0.914,0.001
Cacna1c,Hey1,-0.579,0.452,0.027,0.962,-0.241,0.513,0.466,0.184
Cacna1c,Ptbp1,0.547,0.452,0.576,0.165,-0.363,0.339,0.91,0.001
Cacna1c,Tcf7l2,0.397,0.672,0.22,0.643,-0.364,0.339,0.882,0.002
Cacna1c,Wnt5a,0.558,0.452,0.507,0.222,-0.01,0.982,0.886,0.002
Cacna1d,Glp1r,-0.691,0.22,0.066,0.905,0.513,0.175,0.61,0.07
Cacna1d,Glut2,-0.011,0.992,0.604,0.131,0.559,0.137,0.67,0.045
Cacna1d,Hey1,-0.563,0.452,0.573,0.165,0.25,0.501,0.601,0.074
Cacna1d,Ptbp1,0.54,0.452,0.851,0.009,0.884,0.006,0.938,0.0
Cacna1d,Wnt5a,0.805,0.075,0.893,0.004,0.888,0.006,0.95,0.0
Glp1r,Ptbp1,-0.699,0.217,-0.049,0.922,0.486,0.193,0.527,0.123
Glp1r,Ryr3,0.249,0.918,-0.228,0.638,0.504,0.184,0.364,0.301
Glp1r,Tcf7l2,-0.22,0.932,0.509,0.222,0.748,0.03,0.54,0.114
Glp1r,Wnt5a,-0.491,0.541,-0.138,0.782,0.399,0.285,0.711,0.03
Glp1r,Wnt5b,0.139,0.932,0.808,0.016,0.771,0.026,0.746,0.018
Glut2,Ptbp1,0.635,0.325,0.775,0.025,0.757,0.03,0.849,0.004
Hey1,Ptbp1,-0.209,0.932,0.569,0.167,0.423,0.263,0.631,0.061
Hey1,Tcf7l2,-0.194,0.932,0.609,0.128,0.418,0.265,0.624,0.064
Hey1,Wnt5a,-0.442,0.649,0.422,0.339,0.264,0.481,0.65,0.053
Hey1,Wnt5b,0.172,0.932,0.368,0.439,0.348,0.358,0.768,0.015
Itpr1,Ryr2,0.415,0.649,0.693,0.06,0.621,0.091,0.69,0.037
Itpr1,Tcf7l2,-0.01,0.992,0.34,0.487,0.303,0.429,0.613,0.069
Ptbp1,Wnt5a,0.343,0.767,0.874,0.006,0.686,0.055,0.865,0.003
Ryr2,Ryr3,0.813,0.075,0.542,0.191,0.723,0.041,0.862,0.003
Ryr3,Tcf7l2,-0.161,0.932,0.192,0.687,0.26,0.486,0.428,0.224
Tcf7,Wnt9a,0.723,0.213,0.838,0.011,0.828,0.017,0.876,0.002
Tcf7l2,Wnt5b,0.156,0.932,0.447,0.299,0.849,0.014,0.844,0.004
