Run,Well,Gene
Jun03_Gr1,A02,Wnt2
Jun03_Gr1,A03,Wnt2b
Jun03_Gr1,A04,Wnt5a
Jun03_Gr1,A05,Tcf7
Jun03_Gr1,A06,Wnt5b
Jun03_Gr1,A07,Hes1
Jun03_Gr1,A08,Ins1
Jun03_Gr1,A09,Glp1r
Jun03_Gr1,A10,Glut2
Jun03_Gr1,B02,Wnt2
Jun03_Gr1,B03,Wnt2b
Jun03_Gr1,B04,Wnt5a
Jun03_Gr1,B05,Tcf7
Jun03_Gr1,B06,Wnt5b
Jun03_Gr1,B07,Hes1
Jun03_Gr1,B08,Ins1
Jun03_Gr1,B09,Glp1r
Jun03_Gr1,B10,Glut2
Jun03_Gr1,C02,Lef1
Jun03_Gr1,C03,Wnt2b
Jun03_Gr1,C04,Wnt5a
Jun03_Gr1,C05,Wnt9a
Jun03_Gr1,C06,Wnt5b
Jun03_Gr1,C07,Hes1
Jun03_Gr1,C08,Hey1
Jun03_Gr1,C09,Glp1r
Jun03_Gr1,C10,Glut2
Jun03_Gr1,C11,Gapdh
Jun03_Gr1,D02,Lef1
Jun03_Gr1,D03,Wnt2b
Jun03_Gr1,D04,Wnt5a
Jun03_Gr1,D05,Wnt9a
Jun03_Gr1,D06,Wnt5b
Jun03_Gr1,D07,Hes1
Jun03_Gr1,D08,Hey1
Jun03_Gr1,D09,Glp1r
Jun03_Gr1,D10,Glut2
Jun03_Gr1,D11,Gapdh
Jun03_Gr1,E02,Lef1
Jun03_Gr1,E03,Wnt2
Jun03_Gr1,E04,Wnt5a
Jun03_Gr1,E05,Wnt9a
Jun03_Gr1,E06,Tcf7
Jun03_Gr1,E07,Hes1
Jun03_Gr1,E08,Hey1
Jun03_Gr1,E09,Ins1
Jun03_Gr1,E10,Glut2
Jun03_Gr1,E11,Gapdh
Jun03_Gr1,F02,Lef1
Jun03_Gr1,F03,Wnt2
Jun03_Gr1,F04,Wnt5a
Jun03_Gr1,F05,Wnt9a
Jun03_Gr1,F06,Tcf7
Jun03_Gr1,F07,Hes1
Jun03_Gr1,F08,Hey1
Jun03_Gr1,F09,Ins1
Jun03_Gr1,F10,Glut2
Jun03_Gr1,F11,Gapdh
Jun03_Gr1,G02,Lef1
Jun03_Gr1,G03,Wnt2
Jun03_Gr1,G04,Wnt2b
Jun03_Gr1,G05,Wnt9a
Jun03_Gr1,G06,Tcf7
Jun03_Gr1,G07,Wnt5b
Jun03_Gr1,G08,Hey1
Jun03_Gr1,G09,Ins1
Jun03_Gr1,G10,Glp1r
Jun03_Gr1,G11,Gapdh
Jun03_Gr1,H02,Lef1
Jun03_Gr1,H03,Wnt2
Jun03_Gr1,H04,Wnt2b
Jun03_Gr1,H05,Wnt9a
Jun03_Gr1,H06,Tcf7
Jun03_Gr1,H07,Wnt5b
Jun03_Gr1,H08,Hey1
Jun03_Gr1,H09,Ins1
Jun03_Gr1,H10,Glp1r
Jun03_Gr1,H11,Gapdh
Jun03_Gr2,A02,Wnt2
Jun03_Gr2,A03,Wnt2b
Jun03_Gr2,A04,Wnt5a
Jun03_Gr2,A05,Tcf7
Jun03_Gr2,A06,Wnt5b
Jun03_Gr2,A07,Hes1
Jun03_Gr2,A08,Ins1
Jun03_Gr2,A09,Glp1r
Jun03_Gr2,A10,Glut2
Jun03_Gr2,B02,Wnt2
Jun03_Gr2,B03,Wnt2b
Jun03_Gr2,B04,Wnt5a
Jun03_Gr2,B05,Tcf7
Jun03_Gr2,B06,Wnt5b
Jun03_Gr2,B07,Hes1
Jun03_Gr2,B08,Ins1
Jun03_Gr2,B09,Glp1r
Jun03_Gr2,B10,Glut2
Jun03_Gr2,C02,Lef1
Jun03_Gr2,C03,Wnt2b
Jun03_Gr2,C04,Wnt5a
Jun03_Gr2,C05,Wnt9a
Jun03_Gr2,C06,Wnt5b
Jun03_Gr2,C07,Hes1
Jun03_Gr2,C08,Hey1
Jun03_Gr2,C09,Glp1r
Jun03_Gr2,C10,Glut2
Jun03_Gr2,C11,Gapdh
Jun03_Gr2,D02,Lef1
Jun03_Gr2,D03,Wnt2b
Jun03_Gr2,D04,Wnt5a
Jun03_Gr2,D05,Wnt9a
Jun03_Gr2,D06,Wnt5b
Jun03_Gr2,D07,Hes1
Jun03_Gr2,D08,Hey1
Jun03_Gr2,D09,Glp1r
Jun03_Gr2,D10,Glut2
Jun03_Gr2,D11,Gapdh
Jun03_Gr2,E02,Lef1
Jun03_Gr2,E03,Wnt2
Jun03_Gr2,E04,Wnt5a
Jun03_Gr2,E05,Wnt9a
Jun03_Gr2,E06,Tcf7
Jun03_Gr2,E07,Hes1
Jun03_Gr2,E08,Hey1
Jun03_Gr2,E09,Ins1
Jun03_Gr2,E10,Glut2
Jun03_Gr2,E11,Gapdh
Jun03_Gr2,F02,Lef1
Jun03_Gr2,F03,Wnt2
Jun03_Gr2,F04,Wnt5a
Jun03_Gr2,F05,Wnt9a
Jun03_Gr2,F06,Tcf7
Jun03_Gr2,F07,Hes1
Jun03_Gr2,F08,Hey1
Jun03_Gr2,F09,Ins1
Jun03_Gr2,F10,Glut2
Jun03_Gr2,F11,Gapdh
Jun03_Gr2,G02,Lef1
Jun03_Gr2,G03,Wnt2
Jun03_Gr2,G04,Wnt2b
Jun03_Gr2,G05,Wnt9a
Jun03_Gr2,G06,Tcf7
Jun03_Gr2,G07,Wnt5b
Jun03_Gr2,G08,Hey1
Jun03_Gr2,G09,Ins1
Jun03_Gr2,G10,Glp1r
Jun03_Gr2,G11,Gapdh
Jun03_Gr2,H02,Lef1
Jun03_Gr2,H03,Wnt2
Jun03_Gr2,H04,Wnt2b
Jun03_Gr2,H05,Wnt9a
Jun03_Gr2,H06,Tcf7
Jun03_Gr2,H07,Wnt5b
Jun03_Gr2,H08,Hey1
Jun03_Gr2,H09,Ins1
Jun03_Gr2,H10,Glp1r
Jun03_Gr2,H11,Gapdh
Jun24,A01,Lef1
Jun24,A02,Lef1
Jun24,A03,Wnt2
Jun24,A04,Wnt2b
Jun24,A05,Wnt2b
Jun24,A06,Wnt5a
Jun24,A07,Wnt9a
Jun24,A08,Wnt9a
Jun24,A09,Tcf7
Jun24,A10,Wnt5b
Jun24,A11,Wnt5b
Jun24,A12,Gapdh
Jun24,B01,Lef1
Jun24,B02,Lef1
Jun24,B03,Wnt2
Jun24,B04,Wnt2b
Jun24,B05,Wnt2b
Jun24,B06,Wnt5a
Jun24,B07,Wnt9a
Jun24,B08,Wnt9a
Jun24,B09,Tcf7
Jun24,B10,Wnt5b
Jun24,B11,Wnt5b
Jun24,B12,Gapdh
Jun24,C01,Lef1
Jun24,C02,Lef1
Jun24,C03,Wnt2
Jun24,C04,Wnt2b
Jun24,C05,Wnt2b
Jun24,C06,Wnt5a
Jun24,C07,Wnt9a
Jun24,C08,Wnt9a
Jun24,C09,Tcf7
Jun24,C10,Wnt5b
Jun24,C11,Wnt5b
Jun24,C12,Gapdh
Jun24,D01,Lef1
Jun24,D02,Lef1
Jun24,D03,Wnt2
Jun24,D04,Wnt2b
Jun24,D05,Wnt2b
Jun24,D06,Wnt5a
Jun24,D07,Wnt9a
Jun24,D08,Wnt9a
Jun24,D09,Tcf7
Jun24,D10,Wnt5b
Jun24,D11,Wnt5b
Jun24,D12,Gapdh
Jun24,E01,Lef1
Jun24,E02,Wnt2
Jun24,E03,Wnt2
Jun24,E04,Wnt2b
Jun24,E05,Wnt5a
Jun24,E06,Wnt5a
Jun24,E07,Wnt9a
Jun24,E08,Tcf7
Jun24,E09,Tcf7
Jun24,E10,Wnt5b
Jun24,E11,Gapdh
Jun24,E12,Gapdh
Jun24,F01,Lef1
Jun24,F02,Wnt2
Jun24,F03,Wnt2
Jun24,F04,Wnt2b
Jun24,F05,Wnt5a
Jun24,F06,Wnt5a
Jun24,F07,Wnt9a
Jun24,F08,Tcf7
Jun24,F09,Tcf7
Jun24,F10,Wnt5b
Jun24,F11,Gapdh
Jun24,F12,Gapdh
Jun24,G01,Lef1
Jun24,G02,Wnt2
Jun24,G03,Wnt2
Jun24,G04,Wnt2b
Jun24,G05,Wnt5a
Jun24,G06,Wnt5a
Jun24,G07,Wnt9a
Jun24,G08,Tcf7
Jun24,G09,Tcf7
Jun24,G10,Wnt5b
Jun24,G11,Gapdh
Jun24,G12,Gapdh
Jun24,H01,Lef1
Jun24,H02,Wnt2
Jun24,H03,Wnt2
Jun24,H04,Wnt2b
Jun24,H05,Wnt5a
Jun24,H06,Wnt5a
Jun24,H07,Wnt9a
Jun24,H08,Tcf7
Jun24,H09,Tcf7
Jun24,H10,Wnt5b
Jun24,H11,Gapdh
Jun24,H12,Gapdh
